gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
980560,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980560?gameHash=d56172de0aebcb5c,LEC,2019-1,43483.54559,1,1,9.01,1,Blue,Top,Bwipo,Fnatic,Sion,Irelia,Xin Zhao,Rakan,Corki,Hecarim,30.81666667,0,3,2,5,12,11,0,0,0,0,0,0,1,5.3722,0.097349919,0.064899946,0.746349378,0,12.3891,2,1,0,0,0,0,0,0,0,0,1,,0,15.30118333,1,1,4,8,0,28.08405,0,1,16389,531.8226068,0.262484385,0.175819911,15,0.486749594,0.182926829,2,0.064899946,5,6, , ,10010,193.4810168,9600,-0.12801638,197,4,0,0,6.522444565,3072,3540,-468,4804,5360,-556,4553,4689,-136,79,83,-4,134,139,-5
980560,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980560?gameHash=d56172de0aebcb5c,LEC,2019-1,43483.54559,1,1,9.01,2,Blue,Jungle,Broxah,Fnatic,Lee Sin,Irelia,Xin Zhao,Rakan,Corki,Hecarim,30.81666667,0,2,2,6,12,11,0,0,0,0,0,0,0,5.3722,0.064899946,0.064899946,0.746349378,0,12.3891,2,1,1,1,0,0,1,0,0,0,1,,0,15.30118333,1,1,4,8,0,28.08405,0,1,5821,188.8912926,0.093228483,0.191654921,13,0.421849648,0.158536585,10,0.32449973,6,8, , ,10547,210.9066522,10500,0.118537201,24,152,107,11,5.711195241,2935,3475,-540,4799,5297,-498,3414,3537,-123,54,54,0,97,91,6
980560,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980560?gameHash=d56172de0aebcb5c,LEC,2019-1,43483.54559,1,1,9.01,3,Blue,Middle,Nemesis,Fnatic,Akali,Irelia,Xin Zhao,Rakan,Corki,Hecarim,30.81666667,0,3,0,3,12,11,0,0,0,0,0,0,0,5.3722,0.097349919,0.064899946,0.746349378,0,12.3891,2,1,0,0,0,0,0,0,0,0,1,,0,15.30118333,1,1,4,8,0,28.08405,0,1,20608,668.7290427,0.330055415,0.223265963,15,0.486749594,0.182926829,7,0.227149811,6,7, , ,11619,245.6930233,11655,-0.007692308,266,20,16,4,9.280692266,3215,3634,-419,5205,5604,-399,4616,5336,-720,88,105,-17,154,154,0
980560,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980560?gameHash=d56172de0aebcb5c,LEC,2019-1,43483.54559,1,1,9.01,4,Blue,ADC,Rekkles,Fnatic,Lucian,Irelia,Xin Zhao,Rakan,Corki,Hecarim,30.81666667,0,1,3,6,12,11,0,0,0,0,0,0,0,5.3722,0.032449973,0.162249865,0.746349378,0,12.3891,2,1,1,0,0,0,0,1,0,0,1,,0,15.30118333,1,1,4,8,0,28.08405,0,1,12968,420.8112493,0.207694032,0.244143406,11,0.356949703,0.134146341,9,0.292049757,4,4, , ,12327,268.6676041,12225,-0.180465116,283,12,4,0,9.572742023,3566,3682,-116,5243,5921,-678,3361,3518,-157,99,93,6,147,153,-6
980560,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980560?gameHash=d56172de0aebcb5c,LEC,2019-1,43483.54559,1,1,9.01,5,Blue,Support,Hylissang,Fnatic,Pyke,Irelia,Xin Zhao,Rakan,Corki,Hecarim,30.81666667,0,3,4,6,12,11,0,0,0,0,0,0,0,5.3722,0.097349919,0,0.746349378,0,12.3891,2,1,0,0,0,0,0,0,0,0,1,,0,15.30118333,1,1,4,8,0,28.08405,0,1,6652,215.8572201,0.106537685,0.165115799,28,0.908599243,0.341463415,8,0.259599784,8,10, , ,9647,181.7016766,7900,0.171821306,53,0,0,0,1.719848567,2516,2433,83,3739,3655,84,2515,2609,-94,14,15,-1,22,25,-3
980560,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980560?gameHash=d56172de0aebcb5c,LEC,2019-1,43483.54559,1,1,9.01,6,Red,Top,Werlyb,SK Gaming,Poppy,Cassiopeia,Aatrox,Urgot,Swain,Galio,30.81666667,1,2,4,1,11,12,0,0,0,0,1,0,0,5.3722,0.064899946,0.097349919,0.746349378,0,12.3891,1,2,0,0,0,0,0,0,0,0,0,,1,15.30118333,0,0,8,4,1,28.08405,1,0,13736,445.7328286,0.183879734,0.197114129,15,0.486749594,0.168539326,6,0.194699838,5,6, , ,11356,237.1586804,10913,0.12801638,242,12,8,0,8.242293131,3540,3072,468,5360,4804,556,4689,4553,136,83,79,4,139,134,5
980560,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980560?gameHash=d56172de0aebcb5c,LEC,2019-1,43483.54559,1,1,9.01,7,Red,Jungle,Selfmade,SK Gaming,Sejuani,Cassiopeia,Aatrox,Urgot,Swain,Galio,30.81666667,1,2,2,7,11,12,0,0,0,0,0,1,0,5.3722,0.064899946,0.064899946,0.746349378,1,12.3891,1,2,1,1,0,0,0,1,0,0,0,,1,15.30118333,0,0,8,4,1,28.08405,1,0,11318,367.2687939,0.151510689,0.155417345,15,0.486749594,0.168539326,9,0.292049757,13,15, , ,9810,186.9910222,9325,-0.118537201,17,124,87,8,4.575446187,3475,2935,540,5297,4799,498,3537,3414,123,54,54,0,91,97,-6
980560,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980560?gameHash=d56172de0aebcb5c,LEC,2019-1,43483.54559,1,1,9.01,8,Red,Middle,Pirean,SK Gaming,Lissandra,Cassiopeia,Aatrox,Urgot,Swain,Galio,30.81666667,1,2,4,5,11,12,0,0,0,0,0,0,0,5.3722,0.064899946,0.097349919,0.746349378,0,12.3891,1,2,0,0,0,0,0,0,0,0,0,,1,15.30118333,0,0,8,4,1,28.08405,1,0,15700,509.4645754,0.210171216,0.209628559,4,0.129799892,0.04494382,6,0.194699838,2,4, , ,11820,252.2154678,11745,0.007692308,255,10,5,0,8.599242834,3634,3215,419,5604,5205,399,5336,4616,720,105,88,17,154,154,0
980560,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980560?gameHash=d56172de0aebcb5c,LEC,2019-1,43483.54559,1,1,9.01,9,Red,ADC,Crownshot,SK Gaming,Ezreal,Cassiopeia,Aatrox,Urgot,Swain,Galio,30.81666667,1,5,1,3,11,12,1,0,0,0,0,0,0,5.3722,0.162249865,0.032449973,0.746349378,0,12.3891,1,2,0,1,0,0,0,0,0,0,0,,1,15.30118333,0,0,8,4,1,28.08405,1,0,29387,953.6073553,0.393395001,0.305536556,7,0.227149811,0.078651685,10,0.32449973,0,0, , ,15376,367.6075717,14650,0.180465116,284,22,22,0,9.929691725,3682,3566,116,5921,5243,678,3518,3361,157,93,99,-6,153,147,6
980560,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980560?gameHash=d56172de0aebcb5c,LEC,2019-1,43483.54559,1,1,9.01,10,Red,Support,Dreams,SK Gaming,Braum,Cassiopeia,Aatrox,Urgot,Swain,Galio,30.81666667,1,0,1,7,11,12,0,0,0,0,0,0,0,5.3722,0,0.097349919,0.746349378,0,12.3891,1,2,0,0,0,0,0,0,0,0,0,,1,15.30118333,0,0,8,4,1,28.08405,1,0,4560,147.9718767,0.06104336,0.13230341,48,1.557598702,0.539325843,5,0.162249865,10,10, , ,8953,159.1813953,6650,-0.171821306,50,0,0,0,1.622498648,2433,2516,-83,3655,3739,-84,2609,2515,94,15,14,1,25,22,3
980572,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980572?gameHash=1c62c682c9b961ea&tab=overview,LEC,2019-1,43483.58823,1,1,9.01,1,Blue,Top,Vizicsacsi,Splyce,Sion,Akali,Irelia,Galio,Xayah,LeBlanc,38.16666667,1,2,0,8,16,6,0,0,0,0,0,0,0,6.991083333,0.052401747,0.052401747,0.576419214,0,9.18415,0,4,0,0,0,0,0,0,0,0,0,,0,16.99006667,0,0,10,4,1,29.06251667,2,0,11921,312.3406114,0.187286924,0.200554442,24,0.628820961,0.164383562,7,0.183406114,13,13, , ,14352,246.4139738,12025,0.057754011,301,0,0,0,7.886462882,3260,2976,284,5278,4754,524,4530,4547,-17,86,73,13,144,125,19
980572,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980572?gameHash=1c62c682c9b961ea&tab=overview,LEC,2019-1,43483.58823,1,1,9.01,2,Blue,Jungle,Xerxe,Splyce,Sejuani,Akali,Irelia,Galio,Xayah,LeBlanc,38.16666667,1,3,2,10,16,6,0,0,0,0,0,1,0,6.991083333,0.07860262,0.026200873,0.576419214,0,9.18415,0,4,0,3,0,0,0,0,0,0,0,,0,16.99006667,0,0,10,4,1,29.06251667,2,0,9281,243.1703057,0.145810749,0.178099544,18,0.471615721,0.123287671,14,0.366812227,16,16, , ,13299,218.8244541,11400,0.011025358,38,146,96,16,4.820960699,3238,3287,-49,4735,4933,-198,3498,3375,123,56,58,-2,75,94,-19
980572,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980572?gameHash=1c62c682c9b961ea&tab=overview,LEC,2019-1,43483.58823,1,1,9.01,3,Blue,Middle,Humanoid,Splyce,Aatrox,Akali,Irelia,Galio,Xayah,LeBlanc,38.16666667,1,5,0,8,16,6,0,0,0,0,1,0,0,6.991083333,0.131004367,0.052401747,0.576419214,0,9.18415,0,4,0,0,0,0,0,0,0,0,0,,0,16.99006667,0,0,10,4,1,29.06251667,2,0,19915,521.790393,0.312878038,0.260135625,25,0.655021834,0.171232877,10,0.262008734,12,13, , ,17146,319.619214,14525,0.082064146,314,28,16,4,8.96069869,3606,3777,-171,5212,5840,-628,4577,4977,-400,83,83,0,120,134,-14
